type,zcr_diff_mean,zcr_exceed_th,zcr_third_central_moment,zcr_std_of_fod
M,-8,32,9.073087005693822e-06,0.0410667371788112
M,-10,26,8.695557132302932e-06,0.03854979702327765
M,-10,30,3.321202488115767e-05,0.04063536640338213
M,-6,34,9.566295525625042e-06,0.040695177434620894
M,-12,26,3.1762588207812974e-05,0.042012513375909714
M,0,31,-2.2150953648805495e-06,0.04640691492145972
M,-20,34,1.3646949316776111e-05,0.040813542840159464
M,-12,24,1.0124134658779593e-05,0.038743662269258836
M,-4,18,-6.73830909389491e-06,0.036317186687764964
M,-6,26,2.482906480504436e-05,0.040331137484430936
M,-18,28,1.3869596601749008e-05,0.033955544714555974
M,-2,26,7.170804637188295e-06,0.03358320837222806
M,4,29,2.758976669342747e-06,0.04003972944226508
M,-8,28,1.038012094915099e-05,0.03818350034505075
M,-6,21,2.778710786270488e-05,0.03577934049877368
M,-12,30,4.9852004827774787e-05,0.041059367843452786
M,8,18,2.628839832432077e-06,0.0360387782964744
M,-8,26,3.514755872754813e-05,0.03721654488637904
M,-14,27,0.00010511825463982366,0.04155114436010878
M,4,29,-1.73033162428642e-06,0.037790718107798354
M,-6,18,1.2630888489954679e-05,0.03733518740594922
M,-6,27,1.36003475708886e-06,0.03561712093356831
M,-18,30,3.092419598070947e-05,0.03859743083826008
M,-12,23,0.00020335397695164418,0.04006123549872676
M,-22,22,4.8516832737606784e-05,0.03726777005494162
M,4,22,8.131722684180591e-06,0.03865956181886195
M,-12,23,1.3185337677860928e-05,0.03607715833904299
M,10,25,-2.8519373763896815e-06,0.034675545134168116
M,-12,28,2.5199502160614405e-05,0.03948409960764549
M,-8,24,2.36033730185282e-05,0.03611928357856431
M,-16,30,2.7034003119914458e-05,0.04200799761974104
M,-2,14,-1.2294741312836708e-05,0.03731045267240832
M,-2,32,1.8340508208165103e-05,0.04417603723946045
M,-36,28,7.101225925648041e-05,0.04199935032037703
M,-2,22,-5.455270469711041e-07,0.033491928429445005
M,-18,31,3.715235753151717e-05,0.042270478707427256
M,-8,22,5.7535768371760024e-06,0.03829754952164948
M,8,32,4.16239838679489e-06,0.04029232764293599
M,-10,35,2.3039167826200224e-05,0.04418452492810182
M,-14,34,6.660520451125889e-06,0.03682522057199242
M,-4,28,6.075327673236591e-06,0.035686158079083055
M,-16,33,1.0244358736248737e-05,0.041447279641510855
M,26,62,-0.0024982449528395626,0.11754784034581149
M,22,66,-0.0016096378306383152,0.10527625867512902
M,-10,39,0.0002601807798051975,0.08220530942694569
M,-2,23,2.922824319843008e-06,0.03326248894048551
M,-2,36,2.9854403718396615e-06,0.03487636912835069
M,-4,31,5.876904893393943e-06,0.03658630255084877
M,2,33,-1.2245798435724524e-05,0.03327565618985863
M,0,22,-5.3376459722525774e-06,0.02689156488789781
M,-2,12,4.460051639374982e-06,0.021619455589216015
M,6,15,-1.372902827745461e-06,0.018821487866326102
M,16,46,5.577203076385441e-07,0.020690457270132728
M,-74,41,2.58273373690373e-05,0.012342660770518514
M,40,7,4.6559389743409506e-08,0.00471169228989814
M,-4,23,-2.143986489668173e-05,0.04515964621816305
M,38,2,1.7565711134248864e-09,0.0035070470977491925
M,-128,13,3.6756412714512575e-05,0.01574803201722043
M,-58,44,0.0004071090292957187,0.0454490247326259
M,-8,21,2.284760314129152e-05,0.04906750741071496
M,-2,34,3.348353165958247e-05,0.05544494202885342
M,-4,35,2.6659439409272992e-05,0.04845445685431446
M,2,36,2.8324923714344834e-06,0.044896240346703524
M,-16,39,6.247430544596839e-05,0.0474505986825699
M,-12,40,6.15867537738262e-05,0.05447457593913924
M,4,37,2.4617412982891793e-06,0.038400256426539096
M,0,32,1.9167711963605994e-06,0.03951993165996832
M,12,53,-0.0003510115689802507,0.10819247934264571
M,4,33,8.267414531471143e-06,0.04467370047833066
M,22,51,-6.492855150442241e-05,0.05119799801558177
M,2,31,1.9534287780283415e-05,0.049802134735975626
M,-4,21,9.909540242967493e-07,0.03387456452706154
